,orig_idx,raw_text,orig_label,predicted_label,translated_from
0,2401,"Tag 4: Guten Morgen, heute mal spaßfrei. HomeOffice ist mit den Kindern kaum möglich. *WirftDasHandtuch*
corona",Unrelated,Unrelated,
1,2960,"Mutige Ansage von Leipzig-OB Jung (SPD), bei der Entwicklungsdynamik des CoronaVirus für 'ne ganze Woche radikale Maßnahmen auszuschließen. Nächstes Mal lieber: ""Stand jetzt sind keine Ladenschließungen geplant"". /MS ",Comment,Comment,
2,2002,Corona Maßnahmen in Ingolstadt ,Comment,Comment,
3,2236,Auch in Hamburg: Gericht bestätigt Gottesdienstverbot. ,Comment,Comment,
4,2264,Aus dem heutigen Verwaltungsstab zu Corona: Bis zu einer übergreifenden Regelung für Veranstaltungen durch das Land Brandenburg gilt: Regionale Kultur- und Sportveranstaltungen unter 1000 Gästen können stattfinden ,Comment,Comment,
5,2703,"Als moderne Agentur heimatverbundener Weltbürger waren wir schon weit vor Corona auf Homeoffice eingestellt. 
Das Headquarter bleibt minimalbesetzt, dafür sind wir in Berlin jetzt an 8 Standorten operativ tätig und erreichbar💪 coronadeutschland ",Unrelated,Unrelated,
6,1084,Eastbound SV/Largo Town Center Train 609 changed its destination to RD/Shady Grove at or near East Falls Church on track 1. (9:06pm),Comment,Comment,
7,2269,"Wer von der Coronakrise profitieren wird? China.
Covid_19 Ausgangssperren",Unrelated,Unrelated,
8,2085,"SocialDistancing ist für mich, wenn man fragt, (egal ob Vorstellungsgesp oder einfach so) ""Willst Du...ein Kind?"" 
Antwort [bis vor 2 Wochen]: ""Ich bin dankbar für die Frage ... mir ist es echt wurscht wer in der Österr Bundesliga Dritter wird."" SocialDistance überschritten",Support,Support,
9,2242,"Und <USERNAME> ist skeptisch, ob nach dem Ende des Lockdowns Deutschland direkt zur Normalität zurückkehrt. Lindner lockdown COVIDー19 Corona ",Comment,Comment,
10,2810,"Coronavirus: ""Parks und Spielplätze bleiben offen"" bei 1-Meter-Sicherheitsregel ",Comment,Comment,
11,587,Corona in Köln: Maternus-Grundschule: Alle Schüler und Lehrer in Quarantäne (via <USERNAME> ,Comment,Comment,
12,2902,Bitte lesen❗️“Der Judenhass macht keinen Halt vor einer Ausgangssperre. Wir haben den Antisemitismus im Netz unter die Lupe genommen“. Covid19 ,Comment,Comment,
13,1846," <USERNAME> Ich hoffe, wenn die Corona-Krise vorbei ist, hält der Wähler in Berlin und anderswo endlich und dauerhaft Abstand von all jenen, die Gesunheit zur Ware und Krankenhäuser zu profitorientierten Unternehmen gemacht haben.",Unrelated,Unrelated,
14,1956,Fragen und Antworten: Das müssen Sie zu den Corona-Maßnahmen im Südwesten wissen ,Comment,Comment,
15,2268,Also ich kenne die GroßeFreiheit auch menechenleer. Einen Sonntagabend im Sommer 2018. Und nicht 9.11. wirbleibenzuhause COVIDー19 Covid_19 coronavirus COVID19 Corona CoronaOutbreak deutschland CoronaVirusUpdates COVID2019,Unrelated,Unrelated,
16,2438," Und morgen schicken wir alle ein Foto vom Homeoffice zu euch, damit ihr nicht ganz vereinsamt COVID19 ",Unrelated,Unrelated,
17,2331,"Keine Veranstaltungen, keine Partys, keine Besuche bei Freunden, im Restaurant oder auf dem Spielplatz: Das erste Wochenende mit den neuen Corona-Regeln steht an. Doch auch zu Hause kann man so manches Abenteuer erleben. Wir haben Tipps gesammelt. ",Comment,Comment,
18,635,"++ Das Landratsamt Tirschenreuth hat wegen der Verbreitung des Coronavirus für die Stadt Mitterteich eine Ausgangssperre verhängt. Es ist die erste Stadt in Bayern mit einer solchen Maßnahme. Sie soll bis zum 2. April dauern, wie die Behörde mitteilte. ",Comment,Comment,
19,2787, ,Comment,Comment,
20,1597,"Die FDP Saar fordert einen Expertenrat nach dem Vorbild von NRW, um die bisherigen Maßnahmen zu evaluieren und eine mögliche Exit-Strategie aus den Corona-bedingten Einschränkungen des öffentlichen Lebens zu beraten. ",Comment,Comment,
21,1117,Covid-19 - Bundesweites Versammlungsverbot beschlossen ,Comment,Comment,
22,1097,"Hi! Wir sind SafeMarket! wirvsvirus
SafeMarket bietet verantwortungsvollen Bürger:innen einen digitalen Reservierungsservice, der Warteschlangen und Infektionen minimiert, damit alle in Zeiten von Corona sicher einkaufen gehen können.",Unrelated,Unrelated,
23,309,Betriebsschließung: Hundesalon muss zur Eindämmung der Verbreitung des Coronavirus schließen COVID19 COVIDー19 Coronakrise COVID2019 SARSCoV2 coronadeutschland CoronaVirusDE ,Comment,Comment,
24,2822,"Covid_19 wirbleibenzuhause ob die immer noch total verblödeten in unserem Land, die in Gruppen rumlaufen es langsam kapieren?? ",Support,Support,
25,2351," <USERNAME> wenn Sie nicht verstehen, wieso ich diese Frage stelle, dann kann ich es Ihnen erläutern. Nur so viel: Hier in Berlin kursiert gerade wie wild Covid19 und nicht mal die Risikogruppen checken, dass sie spätestens seit Mittwoch zum Selbschutz in die häusliche Quarantäne müssten",Support,Support,
26,182,Traiskirchen verschärft Corona-Maßnahmen ,Comment,Comment,
27,2044,"Wenn diejenigen, die jetzt ständig nach Joggen, Spazieren &amp; Kinderspielen im Freien rufen, das auch nach der Corona tun, haben wir bald kein Übergewicht in Österreich
(Was macht ihr im Winter? Ist doch 3 Monate schirch dunkel &amp; alle bleiben eh die ganze Zeit ham?) BleibtZuhause",Support,Support,
28,692,wieso werden bei vier kassen zwei nebeneinander befindliche geöffnet anstatt die menschen auf die äußersten kassen zu verteilen und somit den abstand zueinander zu vergrößern? gibts da keine anweisung an die filialen? <USERNAME> Covid_19 coronavirus CoronaVirusAT ,Unrelated,Unrelated,
29,1088,"Weitere logarithmische Plots aktueller Covid19-Infiziertenzahlen, die zeigen wie Soziale Distanz die Epidemie ausbremst. Coronakrise Bei EsP und D zeigt sich dass die Maßnahmen zur Schaffung sozialer Distanz nach einer Woche erste Wirkungen zeigen. ",Comment,Comment,
30,665,"<USERNAME>Danke für die Mühe, Leute,
 aber es wird schon gehen lol",Unrelated,Unrelated, French
31,877,"RT AfD_Bayern ""Das coronavirus breitet sich weiter aus. In der Region Heinsberg sind mitlerweile 1000 Personen unter Quarantäne gestellt. DAX und DOW befinden sich auf Talfahrt und hier in Deutschland wird weiter beschwichtigt... AfD ",Refute,Refute,
32,1547,Sachsen-Anhalt/Corona Massenhaft Hinweise auf verbotene Versammlungen via <USERNAME>,Comment,Comment,
33,60,Coronavirus: Bund und Länder einigen sich auf Kontaktverbot !!! ,Comment,Comment,
34,1858,"juris PraxisReport Strafrecht 7/2020: Corona-Schutzverordnung NW und Infektionsschutzgesetz – eine erste Betrachtung aus straf- bzw. bußgeldrechtlicher Sicht, von Dr. Jens Peglau, RiOLG, COVIDー19 Coronakrise SARSCoV2 ",Comment,Comment,
35,1514,"...und wenn man dann doch versucht ist, hilft der Blick auf diese Entscheidungshilfe👇
FlattenTheCurve COVID19 ",Unrelated,Unrelated,
36,57,"Corona-Quarantäne Tagebuch von <USERNAME> kennt fast jeder. Abr weisst man, dass er auch Buchautor ist? ""Ich halte nicht die Klappe. Mein Leben als Überzeugungstäter in der Chefetage"" habe ich mal für NGFH besprochen. Leseempfehlung ",Unrelated,Unrelated,
37,2826,Die <USERNAME> sitzt gemeinsam zusammen um beim WirvsVirusHackathon das Projekt 031_patient_app_selbstdokumentation voranzutreiben. Patient*innen mit einer diagnostizierten COVID-19 Erkrankung stehen so auch in Quarantäne im Austausch mit der Forschung.,Comment,Comment,
38,642,Noch mehr Fakten am ReosFactFriday! Welche Maßnahmen haben Sie bereits ergriffen? ReosSoftware thinkdigital SmartBuildings SmartNews SmartSolutions innovation RealEstate PropTech WevsVirus coronavirus – <USERNAME> <USERNAME> ,Unrelated,Unrelated,
39,2471,Psychologe erklärt: Daher kommt die Wut auf die Corona-Maßnahmen ,Comment,Comment,
40,1043,"Moin. Kompaktes gutes Video von <USERNAME> zu Corona.
Danke dafür. Daher bleibtzuhause und mindestens MaskeAuf. ",Unrelated,Unrelated,
41,1434,【Popular No.1 Topics in Austria!】 Tom_Hanks Rita_Wilson Coronavirus So geht es Tom Hanks in der Corona-Quarantäne,Comment,Comment,
42,2928," Ich verstehe McConnells Wut, denn
die Lage ist düster. Aber es war seine Entscheidung, die Verhandlungen ohne
die Demokraten zu beginnen, die…",Unrelated,Unrelated,English
43,1663,"Was bedeutet die Ausgangsbeschränkung? Antworten findet ihr in unseren FAQs unter oder über unsere Hotline, die auch am Wochenende von 10 bis 16 Uhr besetzt ist. covid_19 corona handwerk handwerker mittelfranken ",Comment,Comment,
44,1625,"Ein Virus verändert die Arbeitsbedingungen. HomeOffice scheint das Patentrezept – aber was genau ist eigentlich Home Office? Zwischen Sprachgebrauch und Arbeitsrecht. Arbeitswelt Change Facts Corona
",Unrelated,Unrelated,
45,2183,Jena - Für den Schutz: Stufenweise wird in Jena die Nasen-Mund-Bedeckungspflicht eingeführt ,Comment,Comment,
