,orig_idx,raw_text,orig_label,predicted_label,translated_from
0,2356,"Deutsche Unternehmen jammern wegen Homeoffice und die dadurch verlorene lückenlose Mitarbeiterkontrolle, leere Fußballstadien und leere Regale im Supermarkt! Corona Bundesliga Klopapier Risikoland ",Unrelated,Comment,
1,985,"Anders als die aktuellen hyperregulierten Kitaregeln &amp; die pauschale Freigabe der Spielplätze ( ist diese Regelung des Senats sehr sinnvoll &amp; ein kluger Kompromiss. Aufhebung sozialer Isolation der Kinder, mit Freunden, in überschaubarem Rahmen. Danke 👍🏻",Support,Comment,
2,2246,"Deutschlands Schulen bleiben derzeit wegen des Coronavirus geschlossen – neuneinhalb erklärt kindgerecht, warum solche Sicherheitsmaßnahmen notwendig sind und was jeder von uns tun kann: ",Support,Comment,
3,2895,Indiens Kampf gegen Corona: Mit Ausgangssperren gegen düstere Prognosen | Asien | DW | 28.03.2020 by <USERNAME> ,Support,Comment,
4,2249," Die Reaktionen auf Ihren Beitrag zeigen mir, dass das Thema Verhältnismäßigkeit auf keinen Fall am Sonntag vergessen werden darf! Das Augenmaß durch Corona haben einige verloren. Wir brauchen schließlich eine Regelung die sich für mehrere Wochen umsetzen lässt.",Refute,Comment,
5,2513,"Egoismus first, Solidarität second ist eine scheiß Haltung. StayAtHome BleibtZuhause CoronaVirus COVID19 COVID2019de ",Support,Unrelated,
6,190,Corona-Arbeitsschutz: Diese Regeln gelten in Friseursalons ab dem 4. Mai  ,Unrelated,Comment,
7,2759,"Bin &amp; bleibe ein alter Optimist: Wenn alles gutgeht, wird Umsetzung der Schutz- und Vorsichtsmaßnahmen gegen Coronavirus eine der größten Hilfs- und Solidaritätsaktionen, die Österreich seit dem Krieg erlebt hat. Vor allem ältere Schüler und Studierende via SM als Aktive Helfer!",Support,Comment,
8,647,"So fangen schlechte Witze an: ""Zwei Idioten kommen in ein Studio und fetzen sich....."" coronavirus BleibtZuhause ",Unrelated,Comment,
9,2775,Immer mehr Verstöße gegen Corona-Schutzmaßnahmen ,Comment,Unrelated,
10,2085,"SocialDistancing ist für mich, wenn man fragt, (egal ob Vorstellungsgesp oder einfach so) ""Willst Du...ein Kind?"" 
Antwort [bis vor 2 Wochen]: ""Ich bin dankbar für die Frage ... mir ist es echt wurscht wer in der Österr Bundesliga Dritter wird."" SocialDistance überschritten",Support,Comment,
11,1110,"Das BIP in Deutschland dürfte in Q1 um 2,4 Prozent gesunken sein - ein hoher Wert, da Lockdown nur in zweiter Märzhälfte voll zum Tragen kam. In Q2 droht zweistelliger Einbruch. coronadeutschland Covid19 Konjunktur",Refute,Comment,
12,213,“Breadback cmere” ,Unrelated,Comment,
13,856,Keine Kita-Gebühren während Corona-Schließung - ,Unrelated,Comment,
14,2211,"🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷       Grazie Italien, ihr zeigt wie wir unsere Mitmenschen mental unterstützen können. 🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷 Danke an jeden 🙏
StayHome coronavirus CoronaVirusDE thinkpositive ",Unrelated,Comment,
15,65,"""Gut im Griff "" ist das neue "" ich spreche ihm/ihr mein vollstes Vertrauen aus"" 🙃
coronavirus FlattenTheCurve donalphonso ",Unrelated,Comment,
16,116, <USERNAME> Der Effekt ist wegen der Inkubationszeit *frühestens* 5 Tage nach Beginn des social distancing sichtbar.,Unrelated,Comment,
17,327,"Kann sich eigentlich einmal jemand dazu äußern, wie die Abstandsmessung zu Kontakten und die Beurteilung, ob ein Kontakt stattgefunden hat, in der Stopp-Corona-App technisch genau funktioniert? Seit Tagen wird drüber diskutiert und zur technischen Umsetzung gibt's keine Infos.",Unrelated,Comment,
18,2717," Trotz COVID-19 Krise und ""ausserordentliche Lage"", ist Besonnenheit, gesunder Menschenverstand, Ruhe und Gelassenheit nicht verboten worden. Zur Erinnerung: Wahltag ist Zahltag. wahltagzahltag LockdownRogerKoeppel",Unrelated,Comment,
19,2764," Wenn jeder Rudy Gobert gab
Coronavirus sehen ihn auf der Straße",Unrelated,Comment,English
20,403, Einzelhandel Warum sind keine Desinfektionsmittelspender an den Eingängen der Einkaufsmärkte? Coronakrise coronavirus COVID19 FlattenTheCurve Ausgangssperre,Unrelated,Comment,
21,1846," <USERNAME> Ich hoffe, wenn die Corona-Krise vorbei ist, hält der Wähler in Berlin und anderswo endlich und dauerhaft Abstand von all jenen, die Gesunheit zur Ware und Krankenhäuser zu profitorientierten Unternehmen gemacht haben.",Unrelated,Comment,
