,orig_idx,raw_text,orig_label,predicted_label,translated_from
0,2980,"Bitte retweeten wer der gleichen Meinung ist! <USERNAME> <USERNAME> COVID19de CoronaPandemie StayHome Soforthilfe COVID19 RETWEEET HelpFightCorona RetweeetPlease YouTube twitch 
Beitrag durchlesen und teilen wenn er gefällt! Jede Stimme zählt! Vielen Dank! 👇🏼👇🏼👇🏼👇🏼 ",Unrelated,Support,
1,2246,"Deutschlands Schulen bleiben derzeit wegen des Coronavirus geschlossen – neuneinhalb erklärt kindgerecht, warum solche Sicherheitsmaßnahmen notwendig sind und was jeder von uns tun kann: ",Support,Comment,
2,2401,"Tag 4: Guten Morgen, heute mal spaßfrei. HomeOffice ist mit den Kindern kaum möglich. *WirftDasHandtuch*
corona",Unrelated,Comment,
3,2895,Indiens Kampf gegen Corona: Mit Ausgangssperren gegen düstere Prognosen | Asien | DW | 28.03.2020 by <USERNAME> ,Support,Comment,
4,2249," Die Reaktionen auf Ihren Beitrag zeigen mir, dass das Thema Verhältnismäßigkeit auf keinen Fall am Sonntag vergessen werden darf! Das Augenmaß durch Corona haben einige verloren. Wir brauchen schließlich eine Regelung die sich für mehrere Wochen umsetzen lässt.",Refute,Unrelated,
5,2513,"Egoismus first, Solidarität second ist eine scheiß Haltung. StayAtHome BleibtZuhause CoronaVirus COVID19 COVID2019de ",Support,Unrelated,
6,190,Corona-Arbeitsschutz: Diese Regeln gelten in Friseursalons ab dem 4. Mai  ,Unrelated,Comment,
7,2759,"Bin &amp; bleibe ein alter Optimist: Wenn alles gutgeht, wird Umsetzung der Schutz- und Vorsichtsmaßnahmen gegen Coronavirus eine der größten Hilfs- und Solidaritätsaktionen, die Österreich seit dem Krieg erlebt hat. Vor allem ältere Schüler und Studierende via SM als Aktive Helfer!",Support,Comment,
8,102,"23.01: ""Keine Angst, Corona kommt nicht nach Europa""
24.01: Vier Fälle in Frankreich
25.01: ""Keine Angst, Corona kommt nicht nach Deutschland""
26.01: Erster Fall in Deutschland
29.01: ""Alles nur Panikmache!""
30.01: 90 in Quarantäne, vier bestätigte Fälle in Deutschland 🤔😖",Comment,Refute,
9,647,"So fangen schlechte Witze an: ""Zwei Idioten kommen in ein Studio und fetzen sich....."" coronavirus BleibtZuhause ",Unrelated,Comment,
10,2775,Immer mehr Verstöße gegen Corona-Schutzmaßnahmen ,Comment,Unrelated,
11,1481,"Nicht auszudenken, was mit Berlin passieren würde, wenn diese Dichte der Regelüberwachung in die Zeit NACH der Coronakrise hinübergerettet (und ggf. auf Delikte wie gewerbsmäßigen Drogenhandel und andere OK-Delikte ausgeweitet) werden könnte. ",Comment,Refute,
12,2269,"Wer von der Coronakrise profitieren wird? China.
Covid_19 Ausgangssperren",Unrelated,Comment,
13,2085,"SocialDistancing ist für mich, wenn man fragt, (egal ob Vorstellungsgesp oder einfach so) ""Willst Du...ein Kind?"" 
Antwort [bis vor 2 Wochen]: ""Ich bin dankbar für die Frage ... mir ist es echt wurscht wer in der Österr Bundesliga Dritter wird."" SocialDistance überschritten",Support,Unrelated,
14,2825,"Ich persönlich stimme der Entscheidung zu
und teile die Angst der betroffenen Stakeholder vor den Auswirkungen von
Entscheidungen, die auf das öffentliche Interesse abzielen.Ich denke, die
Regierung sollte…",Comment,Support, Arabic
15,1110,"Das BIP in Deutschland dürfte in Q1 um 2,4 Prozent gesunken sein - ein hoher Wert, da Lockdown nur in zweiter Märzhälfte voll zum Tragen kam. In Q2 droht zweistelliger Einbruch. coronadeutschland Covid19 Konjunktur",Refute,Comment,
16,213,“Breadback cmere” ,Unrelated,Comment,
17,856,Keine Kita-Gebühren während Corona-Schließung - ,Unrelated,Comment,
18,2211,"🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷       Grazie Italien, ihr zeigt wie wir unsere Mitmenschen mental unterstützen können. 🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷 Danke an jeden 🙏
StayHome coronavirus CoronaVirusDE thinkpositive ",Unrelated,Comment,
19,65,"""Gut im Griff "" ist das neue "" ich spreche ihm/ihr mein vollstes Vertrauen aus"" 🙃
coronavirus FlattenTheCurve donalphonso ",Unrelated,Comment,
20,116, <USERNAME> Der Effekt ist wegen der Inkubationszeit *frühestens* 5 Tage nach Beginn des social distancing sichtbar.,Unrelated,Comment,
21,327,"Kann sich eigentlich einmal jemand dazu äußern, wie die Abstandsmessung zu Kontakten und die Beurteilung, ob ein Kontakt stattgefunden hat, in der Stopp-Corona-App technisch genau funktioniert? Seit Tagen wird drüber diskutiert und zur technischen Umsetzung gibt's keine Infos.",Unrelated,Refute,
22,2717," Trotz COVID-19 Krise und ""ausserordentliche Lage"", ist Besonnenheit, gesunder Menschenverstand, Ruhe und Gelassenheit nicht verboten worden. Zur Erinnerung: Wahltag ist Zahltag. wahltagzahltag LockdownRogerKoeppel",Unrelated,Comment,
23,2764," Wenn jeder Rudy Gobert gab
Coronavirus sehen ihn auf der Straße",Unrelated,Comment,English
24,403, Einzelhandel Warum sind keine Desinfektionsmittelspender an den Eingängen der Einkaufsmärkte? Coronakrise coronavirus COVID19 FlattenTheCurve Ausgangssperre,Unrelated,Comment,
25,1956,Fragen und Antworten: Das müssen Sie zu den Corona-Maßnahmen im Südwesten wissen ,Comment,Unrelated,
26,434,"Yoga wurde übrigens 523v. Chr. von einem Tätowierer erfunden, der sich in Quarantäne selbst die freien Stellen an seinem Bein tätowieren wollte. 
Corona homeoffice",Unrelated,Comment,
27,2677,"""Abschiebungen aus Hessen werden wegen der Coronakrise nicht pauschal ausgesetzt."" <USERNAME> ""Von nicht notwendigen Reisen raten wir ab"". Während Corona und immer: Abschiebestopp wirbleibenzuhause 
",Unrelated,Comment,
28,1992,"Regierungspräsident Christoph Ammann (<USERNAME> erklärt, wie es zur Sonderregelung bei den Berner Skigebieten kommen konnte. (Abo+) coronavirus ",Support,Unrelated,
29,339,"Was mich am meisten an Corona stört: Die Menschen, die mit den Maßnahmen geschützt werden sollen (Ü60), reagieren mit dem größten Unverständnis auf diese Maßnahmen! Schulschliessung CoronaVirusDE ",Support,Refute,
30,567,"Corona-Krise: Für das gesamte energate-Team ist es selbstverständlich, alles zu tun, um die Pandemie so gut wie möglich einzudämmen✅
Für unsere Kunden ändert sich dabei nichts! Alle Infos gibt es hier➡️ Homeoffice COVID19de COVID19 FlattenTheCurve ",Comment,Support,
31,372,"Deutschland versucht gerade diese Pandemie zu bewältigen und die GEZ-Zwangsbürger-Beitragsbehörde hat unserem Firmensitz in Deutschland gerade ein Drohbrief wegen des Büro-Fernsehers über 44,89 € geschickt. COVID19 DeutschlandBleibtZuhause aber Läuft alles ! 😂😂",Unrelated,Support,
32,2714,"Immer mehr leere Maschinen fliegen gerade nach AEgypten um die Touristen von den ⛱🏖🏝 zurückzuholen. Wer klug ist, steigt ein und ✈️ zurück coronavirusdeutschland ShutDownGermany COVID19",Comment,Unrelated,
33,448,"Shutdown als Chance: Die Krankheit Covid-19 betrifft mit ihren Auswirkungen die gesamte Menschheit. Ein Konzept aus der Psychologie stiftet Hoffnung, dass wir am Ende gestärkt aus der Krise hervorgehen könnten coronavirus COVID19 Futureofeurope",Support,Comment,
34,1286,"Wir haben ein Memo darüber online gebracht, wie wir als Agentur, Arbeitgeber und Kollegium auf die Ausbreitung des Coronavirus (COVID19) reagieren und welche Maßnahmen wir für unsere Kunden, Partner und uns ergreifen. remotework newwork homeoffice",Unrelated,Comment,
35,1925,"Wow, <USERNAME> schreibt Artikel über Corona, SocialDistancing &amp; Ausgangssperre ohne einmal die Auswirkungen für medizinisches Personal und Gesundheitswesen in Betrachtung einzubeziehen (o. IfSG zu erwähnen). Es geht nicht um die 1/2 Stunde im Park. ",Comment,Unrelated,
36,1982,"""Keine Handschuhe!“ – Arzt verrät Einkaufsregeln zum Schutz vor Corona  👍",Unrelated,Comment,
37,2655,"Corona-Krise: Was jeder zur Entschädigung für Verdienstausfall bei Quarantäne wissen sollte, Voraussetzungen, Antrag, Berechnung und Fristen mit Rechtsanwalt Leibecke ",Unrelated,Comment,
38,2822,"Covid_19 wirbleibenzuhause ob die immer noch total verblödeten in unserem Land, die in Gruppen rumlaufen es langsam kapieren?? ",Support,Unrelated,
39,2351," <USERNAME> wenn Sie nicht verstehen, wieso ich diese Frage stelle, dann kann ich es Ihnen erläutern. Nur so viel: Hier in Berlin kursiert gerade wie wild Covid19 und nicht mal die Risikogruppen checken, dass sie spätestens seit Mittwoch zum Selbschutz in die häusliche Quarantäne müssten",Support,Unrelated,
40,623,"Gibt es in D gleiche Zugangschancen zu Tests, CT-Diagnostik, Intensivmedizin und Beatmungsgeräten für Privat- und Kassenpatienten? | Ist die Zwei-Klassen-Medizin in der Coronakrise vorübergehend abgeschafft? lanz CoronaVirusDE COVID19 Kontaktsperre SARSCoV2",Unrelated,Support,
41,2184,"Lockerungen der Corona-Kontaktsperre: Wenn wir so weitermachen, dann gute Nacht ",Refute,Comment,
42,699, <USERNAME> <USERNAME> Ich schätze Ihre Sendung sehr. Abner dei diesem Thema Corona-Virus haben Sie keine Ahnung. Es wird noch mindestens 5-8 Wochen dauern bis nur an eine leichte Lockerung gedacht werden kann. Bleiben Sie sachlich. Der lockdown istr richtig!,Support,Comment,
43,2286,"Hallöchen meine Lieben!
Ich habe mich dieses Mal für The Forest entschieden und hoffe ihr schaut mal rein! Wo man zu Zeiten von Corona nicht verreisen kann, lande ich gerade frisch auf einer Insel voller Hamsterer!  
smallyoutuber deutsch stayathome",Unrelated,Support,
44,1136,"Heute ausgewählt: Corona-App gegen Lockdown, WhatsApp mit selbstzerstörenden Nachrichten, Apple mit eigenen Gesichtsmasken. coronavirusdeutschland COVID19deutschland WhatsApp timcook apple GoogleAssistant 5G Zoom Ikea AugmentedReality ",Unrelated,Comment,
45,692,wieso werden bei vier kassen zwei nebeneinander befindliche geöffnet anstatt die menschen auf die äußersten kassen zu verteilen und somit den abstand zueinander zu vergrößern? gibts da keine anweisung an die filialen? <USERNAME> Covid_19 coronavirus CoronaVirusAT ,Unrelated,Refute,
46,2358,"Haben eigentlich die Hörgeräte Akustiker noch auf? Wahrscheinlich auch nicht oder? Wenn jetzt Batterien ausgehen, muss man bestellen, ne? COVID19 CoronaHilfe bleibdaheim",Unrelated,Refute,
47,670,"Damit beim solidarischen Zuhausebleiben keine Langeweile aufkommt gibt es dieses Wochenende etwas Besonderes. Beim wirvsvirus Hackathon werden kreative Lösungen für Herausforderungen, die im Zuge der Corona Krise entstehen, gesucht.
Pressemitteilung: ",Unrelated,Comment,
48,665,"<USERNAME>Danke für die Mühe, Leute,
 aber es wird schon gehen lol",Unrelated,Comment, French
49,877,"RT AfD_Bayern ""Das coronavirus breitet sich weiter aus. In der Region Heinsberg sind mitlerweile 1000 Personen unter Quarantäne gestellt. DAX und DOW befinden sich auf Talfahrt und hier in Deutschland wird weiter beschwichtigt... AfD ",Refute,Comment,
50,1631,"""Sollte das Coronavirus tatsächlich in der Regel lediglich moderate und nur in Ausnahmefällen ernsthafte Gesundheitsgefahren verursachen, sieht die Abwägung komplett anders aus, als wenn ein Massensterben zu erwarten wäre."" Auf die 0,1% - 0,5% Sterbefälle kann man scheißen [3/9]",Unrelated,Comment,
51,60,Coronavirus: Bund und Länder einigen sich auf Kontaktverbot !!! ,Comment,Unrelated,
52,660," <USERNAME> <USERNAME> Eine Zeit nach Corona ist erstmal nicht abzusehen. Alleine das Kontaktverbot sollte noch mehrere Wochen Bestand haben. Und dann stehen wir immer noch am Anfang, verstehen nur viele nicht",Support,Comment,
53,1971,"Zuhause bleiben ist das neue sozial.
FlattenTheCurve coronavirus",Support,Unrelated,
54,854,"die menschenleere Rialto Brücke in Venedig an diesem sonnigen Mittag heute der Autor des Videos hält ein Plädoyer für einen Shutdown, gegen ökonomischen Interessen und für eine maximale Eindämmung  Corona
CoronavirusPandemic
coronavirus",Support,Comment,
55,1559,"Tretet diesem Merkel Monster endlich in den Arsch !
Merkel über Coronavirus-Bekämpfung: ""Maßnahmen, die es so in unserem Lande noch nicht gegeben hat"" via <USERNAME>",Support,Unrelated,
56,1786," 2 Freunde arbeiten auf Intensivstationen. Das mittlere Kind ist wegen Corona in Quarantäne. Die beiden werden nicht getestet. Auskunft des Landes Nö und Hotline: "" sie waren in keinen Risikogebiet und könnten ja auch krank arbeiten gehen""",Support,Comment,
57,2610,"Neue slowakische Regierung unter <USERNAME>
steht gleich zu Beginn ihrer Amtszeit unter großem Erfolgsdruck. Wichtig ist, dass sie sich nicht von internen Streitereien lähmen lässt und konsequent Maßnahmen zur Eindämmung der Corona-Pandemie ergreift.
",Support,Unrelated,
58,696,Zur Forderung der Ausgangssperre derWaadtländer Regierung noch dies. Die totale Verharmlosung des COVID19 durch RR Leuba in <USERNAME> ,Refute,Comment,
59,345,"Bayerns Innenminister Herrmann hat bekräftigt, dass es im Kampf gegen Corona keine Ausnahmeregelungen für den Fußball geben wird. Die Bundesligen wollen so bald wie möglich den Spielbetrieb ohne Zuschauer wieder aufnehmen.
",Comment,Support,
60,1043,"Moin. Kompaktes gutes Video von <USERNAME> zu Corona.
Danke dafür. Daher bleibtzuhause und mindestens MaskeAuf. ",Unrelated,Comment,
61,1434,【Popular No.1 Topics in Austria!】 Tom_Hanks Rita_Wilson Coronavirus So geht es Tom Hanks in der Corona-Quarantäne,Comment,Unrelated,
62,2928," Ich verstehe McConnells Wut, denn
die Lage ist düster. Aber es war seine Entscheidung, die Verhandlungen ohne
die Demokraten zu beginnen, die…",Unrelated,Support,English
63,2641,"Guten Morgen, es ist Samstag, 21.3. Thread Nr. 10 zu Corona Dresden CoronaSN. Seit Mitternacht gibt es Ausgangsbeschränkungen <USERNAME> OB Dirk Hilbert: „Die Unvernunft von einigen führt jetzt zu härteren Maßnahmen für alle.“",Comment,Unrelated,
64,545,Sogar ⁦<USERNAME> erfasst es klarer als unsere ⁦<USERNAME> .. toll ausgedrückt und auf den Punkt gebracht Herr Pocher StayAtHome COVID19 coronavirusdeutschland Politikversagen germanylockdown ,Unrelated,Comment,
65,29,"Die Stadt Wien hat ein Video für die kleinsten unter uns erstellt, welches hervorragend den coronavirus erklärt und warum es wichtig ist, dass wir jetzt alle zuhause bleiben. Wir sind weiterhin für Euch im EinsatzfürBadBrückenau
StayAtHome franken
",Support,Unrelated,
